,UPC,2017Spend,2017 Sales,WeekNum,2018Spend,2018 Sales,diff
2171,30000311820,0,125.45,38,14,730.83,605.38
2172,30000311820,0,101.43,39,12,745.3,643.87
2173,30000311820,0,137.82,40,8,559.69,421.87
2174,30000311820,0,130.1,41,3,853.21,723.11
2175,30000311820,0,135.2,42,12,729.39,594.19
2176,30000311820,0,124.64,43,2,629.46,504.82
2177,30000311820,0,94.19,44,0,429.94,335.75
2592,30000562529,0,85.39,27,0,428.97,343.58
2593,30000562529,0,107.77,28,0,419.71,311.94
2594,30000562529,0,83.82,29,0,777.18,693.36
2595,30000562529,0,56.75,30,27,651.49,594.74
2596,30000562529,0,219.83,31,28,759.44,539.61
2597,30000562529,0,195.63,32,17,712.85,517.22
2598,30000562529,0,201.04,33,10,588.77,387.73
2599,30000562529,0,227.79,34,21,802.91,575.12
2600,30000562529,0,316.17,35,22,1123.37,807.2
2601,30000562529,0,200.39,36,57,1147.98,947.59
2602,30000562529,0,118.23,37,92,1225.81,1107.58
2603,30000562529,0,198.08,38,114,695.91,497.83
2604,30000562529,0,194.6,39,106,815.62,621.02
2605,30000562529,0,372.06,40,100,900.51,528.45
2606,30000562529,0,204.22,41,140,782.3,578.08
2607,30000562529,0,268.91,42,247,851.94,583.03
2608,30000562529,0,354.35,43,270,1015.62,661.27
2609,30000562529,0,292.57,44,174,765.45,472.88
2772,52000010886,0,793.52,27,20,793.78,0.26
2773,52000010886,0,1939.42,28,18,1197.5,-741.92
2774,52000010886,0,1319.15,29,12,893.03,-426.12
2775,52000010886,0,1274.89,30,18,1190.24,-84.65
2776,52000010886,0,1939.51,31,14,1124.74,-814.77
2777,52000010886,0,2096.8,32,65,959.59,-1137.21
2778,52000010886,0,1532.1,33,55,2449.24,917.14
2779,52000010886,0,1462.1,34,40,4532.61,3070.51
2780,52000010886,0,1565.18,35,95,308.25,-1256.93
2781,52000010886,0,1143.74,36,190,57.27,-1086.47
2782,52000010886,0,940.48,37,245,-1.99,-942.47
2783,52000010886,0,793.66,38,350,0,-793.66
2784,52000010886,0,801.93,39,50,-23.76,-825.69
2785,52000010886,0,937.99,40,0,0,-937.99
2786,52000010886,0,919.92,41,0,-1.99,-921.91
2787,52000010886,0,726.4,42,0,0,-726.4
2788,52000010886,0,687.33,43,0,0,-687.33
2789,52000010886,0,738.81,44,0,0,-738.81
2826,52000010978,0,820.6,27,8,569.51,-251.09
2827,52000010978,0,1653.88,28,40,816.2,-837.68
2828,52000010978,0,1556.64,29,48,1069.07,-487.57
2829,52000010978,0,1395.29,30,44,2401,1005.71
2830,52000010978,0,1769.6,31,32,931.81,-837.79
2831,52000010978,0,1906.19,32,122,655.52,-1250.67
2832,52000010978,0,2242.38,33,120,1159.29,-1083.09
