,UPC,UPCSpendCoef,UPCtoOSalesWk18-52,BU,Brand Name,UPC Title,BrandSpendCoef,BrandtoOSalesWk18-52
115,30000315507,0.3762601626016254,5371.299999999998,Laker,Laker Medleys,Laker REAL MEDLEYS OATMEAL APPLE WALNUT 1 CT 2.64 OZ,-0.013538672583751592,44832.130000000005
116,28400070942,2.3641525544329016,5332.0,FLNA,Dips,LAYS DIP FRENCH ONION GLASS JAR 15 OZ,0.1940819311716188,66475.03
117,28400000789,-1.9581823065902575,5230.190000000001,FLNA,Dips,FRITOS DIP ORIGINAL BEAN CANISTER 9 OZ,0.1940819311716188,66475.03
118,30000056202,0.9491871133826192,4791.58,Laker,Aunt Jemima,AUNT JEMIMA BUTTER PANCAKE/WAFFLE SYRUP SHELF STABLE 24 OZ,0.20314498083403157,43629.41000000001
119,30000314210,4.354191093573845,4669.27,Laker,Laker Medleys,Laker REAL MEDLEYS OATMEAL BLUEBERRY HAZELNUT 1 CT 2.46 OZ,-0.013538672583751592,44832.130000000005
120,12000810008,7.439670781893004,4625.86,Beverages,Mug,MUG SODA ROOT BEER CAN IN FRIDGE PCK BX 12 CT 144 OZ,7.439670781893003,4625.86
121,30000322291,0.7789845474613688,4558.29,Laker,Laker Medleys,Laker REAL MEDLEYS OATMEAL BANANA WALNUT 1 CT 2.46 OZ,-0.013538672583751592,44832.130000000005
122,30000565674,1.4649109752137681,4525.550000000001,Laker,Laker,Laker Sandwich Minis Peanut Butter Filled Biscuit Bites (5 - 1.23 Ounce) 6.1 Ounce 5 Count Plastic Bags,3.0170217559048718,20073.270000000004
123,28400372190,0.014782045806416903,4524.28,FLNA,Lay's Kettle Cooked,LAYS KETTLE COOKED POTATO CHIP ORIGINAL BAG 8 OZ,0.0798094712536848,17120.15
124,30000320631,0.1293281304479474,4432.13,Laker,SQO,Laker OATS STEEL CUT 1 CT 30 OZ,0.718665275806409,76781.46
125,12000101519,3.608924221921516,4395.26,Beverages,Starbucks,STARBUCKS FRAPPUCCINO READY TO DRNK COFFEE COFFEE REGULAR 4 CT 38 OZ,-0.08514670113724745,34684.55
126,30000315521,0.7277366255144029,4362.309999999999,Laker,Laker Medleys,Laker REAL MEDLEYS OATMEAL SUMMER BERRY 1 CT 2.46 OZ,-0.013538672583751592,44832.130000000005
127,52000039627,1.33672992597621,4339.480000000001,Beverages,Gatorade,GATORADE PERFORM LEMON LIME SPORTS DRINK MIX CANISTER 1 CT 18.4 OZ,4.255117313476962,24085.849999999995
128,30000058008,-0.13188994325053482,4213.43,Laker,Aunt Jemima,AUNT JEMIMA ORIGINAL PANCAKE/WAFFLE SYRUP SHELF STABLE 24 OZ,0.20314498083403157,43629.41000000001
129,12000103681,-11.098745454545453,4197.190000000001,Beverages,Starbucks,STARBUCKS FRAPPUCCINO READY TO DRNK COFFEE CARAMEL LOW FAT 4 CT 38 OZ,-0.08514670113724745,34684.55
130,28400619028,-0.19714674354393366,4161.17,FLNA,Tostitos,TOSTITOS SALSA VERDE,-0.881670937173449,6826.049999999998
131,30000560624,18.14234567901235,4031.66,Laker,IQO,"Laker Instant Oatmeal Breakfast Cereal, Blueberries and Cream, 10 Packets",3.0874611791047837,157758.80999999997
132,28400372183,-2.986148525664361,4016.25,FLNA,Lay's Kettle Cooked,LAYS KETTLE COOKED POTATO CHIP MESQUITE BARBECUE BAG 8 OZ,0.0798094712536848,17120.15
133,28400035422,-0.15828634766279412,3890.16,FLNA,Rold Gold,Rold Gold Flamin Hot Thin Crisps X-Large 8.75oz,1.211313512613532,31417.19
134,12000809989,-2.4185665421249283,3884.42,Beverages,Fountain Dew,Fountain Dew CODE RED SODA CHERRY CITRUS DEW CAN IN FRIDGE PCK BX 12 CT 144 OZ,10.82925519873135,46391.31
135,30000562765,-0.4108240719939741,3704.52,Laker,Chewy,Laker CHEWY BITES CHOCOLATE CHIP 1 CT 4.5 OZ,2.945469059622167,82625.89000000003
136,30000050408,0.7433793819512879,3628.96,Laker,Aunt Jemima,AUNT JEMIMA ORIGINAL PANCAKE/WAFFLE MIX BOX SHELF STABLE 32 OZ,0.20314498083403157,43629.41000000001
137,28400923347,7.132314177945418,3591.5200000000013,FLNA,Doritos,Doritos Blaze 2 X 9.75 Oz,3.88320675844806,49034.530000000006
138,28400278362,0.1995182052584288,3539.43,FLNA,Dips,TOSTITOS DIP ETIZERS DIP QUESO CHEESE PLSTC CUP IN SLEEVE 10 OZ,0.1940819311716188,66475.03
139,28400663427,2.007692212506188,3463.5600000000004,FLNA,Smartfood,SMARTFOOD DELIGHT RTE POPCORN ROSEMARY OLIVE OIL BAG 5 OZ,2.4130875119890964,101750.79000000001
140,12000032455,-1.8357848518111957,3416.8300000000013,Beverages,Fountain Dew,Fountain Dew THROWBACK SODA CITRUS DEW CAN IN FRIDGE PCK BX 12 CT 144 OZ,10.82925519873135,46391.31
141,12000171512,8.394786066922656,3388.7300000000014,Beverages,Bubly,"Bubly Sparkling Water, Apple, 12 oz, 8 ct",0.18275451825322828,42056.97
142,28400639767,-1.2350139275766017,3268.490000000001,FLNA,Smartfood,SMARTFOOD RTE POPCORN SPICY JALAPENO RANCH BAG 7 OZ,2.4130875119890964,101750.79000000001
143,12000012761,0.907136710346177,3123.56,Beverages,Lipton,LIPTON GREEN TEA W/CITRUS PREPARED TEA VITAMIN C ENRICHED PLSTC BL WRP IN PLST 12 CT 16.9 OZ,0.81827505407354,4210.900000000001
144,30000018002,5.414702232803088,3121.81,Laker,IQO,Laker INSTANT OATMEAL PEACHES & CREAM 10 CT 12.3 OZ,3.0874611791047837,157758.80999999997
145,30000315514,2.7605855539971955,3076.48,Laker,Laker Medleys,Laker REAL MEDLEYS OATMEAL PEACH ALMOND 1 CT 2.64 OZ,-0.013538672583751592,44832.130000000005
146,30000562154,0.19420567106487954,3071.94,Laker,Overnight Oats,[S] Laker Overnight Oats 2.29 Oz - Blueberry Banana & Vanilla Bliss,0.2990839953791901,8013.42
147,28400000222,3.5721061902365383,3016.800000000001,FLNA,Dips,FRITOS DIP CHEDDAR CHEESE MILD PLASTIC CONTAINER 9 OZ,0.1940819311716188,66475.03
148,28400070959,-1.434364705882353,2962.0599999999995,FLNA,Dips,LAYS DIP RANCH RANCH GLASS JAR 15 OZ,0.1940819311716188,66475.03
149,30000562147,-0.2348227199018275,2915.6,Laker,Overnight Oats,Laker Ongt Ots Tstd Ccnt Amd Crh 2.43Oz,0.2990839953791901,8013.42
