,UPC,2017Spend,2017 Sales,WeekNum,2018Spend,2018 Sales
215,12000104510,0.0,0.0,44,0.0,532.67
216,12000112249,0.0,0.0,27,0.0,22.05
217,12000112249,0.0,0.0,28,0.0,25.84
218,12000112249,0.0,0.0,29,0.0,24.74
219,12000112249,0.0,0.0,30,0.0,42.0
220,12000112249,0.0,0.0,31,0.0,13.38
221,12000112249,0.0,0.0,32,0.0,19.43
222,12000112249,0.0,0.0,33,0.0,4.69
223,12000112249,0.0,0.0,34,0.0,17.62
224,12000112249,0.0,0.0,35,0.0,35.6
225,12000112249,0.0,0.0,36,6.0,21.38
226,12000112249,0.0,0.0,37,2.0,23.22
227,12000112249,0.0,0.0,38,9.0,53.49
228,12000112249,0.0,0.0,39,3.0,28.14
229,12000112249,0.0,9.98,40,4.0,83.31
230,12000112249,0.0,19.21,41,6.0,13.37
231,12000112249,0.0,22.5,42,1.0,4.0
232,12000112249,0.0,32.98,43,1.0,41.23
233,12000112249,0.0,19.43,44,1.0,37.4
234,12000142079,0.0,0.0,27,0.0,17.99
235,12000142079,0.0,0.0,28,6.0,57.72
236,12000142079,0.0,0.0,29,12.0,40.84
237,12000142079,0.0,0.0,30,24.0,49.05
238,12000142079,0.0,0.0,31,22.0,34.55
239,12000142079,0.0,0.0,32,6.0,32.46
240,12000142079,0.0,0.0,33,2.0,73.91
241,12000142079,0.0,0.0,34,2.0,42.96
242,12000142079,0.0,0.0,35,2.0,27.84
243,12000142079,0.0,0.0,36,0.0,25.58
244,12000142079,0.0,0.0,37,0.0,50.44
245,12000142079,0.0,0.0,38,0.0,33.22
246,12000142079,0.0,4.78,39,0.0,32.51
247,12000142079,0.0,0.0,40,0.0,48.4
248,12000142079,0.0,9.08,41,0.0,48.51
249,12000142079,0.0,21.16,42,0.0,44.11
250,12000142079,0.0,7.17,43,0.0,43.75
251,12000142079,0.0,2.39,44,0.0,93.31
252,12000142086,0.0,0.0,27,0.0,67.45
253,12000142086,0.0,0.0,28,0.0,136.64
254,12000142086,0.0,0.0,29,0.0,80.29
255,12000142086,0.0,0.0,30,0.0,70.63
256,12000142086,0.0,0.0,31,0.0,85.27
257,12000142086,0.0,0.0,32,0.0,65.96
258,12000142086,0.0,0.0,33,0.0,96.6
259,12000142086,0.0,0.0,34,38.0,81.6
260,12000142086,0.0,0.0,35,23.0,32.38
261,12000142086,0.0,0.0,36,19.0,81.26
262,12000142086,0.0,0.0,37,10.0,49.0
263,12000142086,0.0,0.0,38,17.0,69.92
264,12000142086,0.0,11.95,39,10.0,81.85
265,12000142086,0.0,11.83,40,16.0,77.08
266,12000142086,0.0,9.32,41,14.0,79.1
267,12000142086,0.0,13.86,42,14.0,93.34
268,12000142086,0.0,13.86,43,17.0,64.55
269,12000142086,0.0,11.13,44,8.0,136.89
270,12000151668,0.0,0.0,27,0.0,41.64
271,12000151668,0.0,0.0,28,0.0,33.73
272,12000151668,0.0,0.0,29,0.0,40.71
273,12000151668,0.0,0.0,30,0.0,24.71
274,12000151668,0.0,0.0,31,0.0,51.28
275,12000151668,0.0,0.0,32,0.0,49.6
276,12000151668,0.0,0.0,33,0.0,42.2
277,12000151668,0.0,0.0,34,0.0,33.8
278,12000151668,0.0,0.0,35,0.0,57.87
279,12000151668,0.0,0.0,36,4.0,94.52
280,12000151668,0.0,0.0,37,8.0,34.99
281,12000151668,0.0,0.0,38,8.0,59.78
282,12000151668,0.0,0.0,39,11.0,44.87
283,12000151668,0.0,6.36,40,9.0,63.63
284,12000151668,0.0,19.02,41,6.0,64.23
285,12000151668,0.0,28.75,42,0.0,54.38
286,12000151668,0.0,10.38,43,0.0,36.32
287,12000151668,0.0,16.4,44,0.0,105.48
